"Continent","Region","Country","Country_Code","CRIMINALITY","Human_trafficking","Victim_support"
"Americas","Caribbean","St. Vincent and the Grenadines","VCT","3.30","2.5","3.0"
"Africa","East Africa","Sudan","SDN","6.46","8.0","1.0"
"Americas","South America","Suriname","SUR","4.90","4.0","2.0"
"Europe","Northern Europe","Sweden","SWE","4.56","4.5","6.0"
"Europe","Western Europe","Switzerland","CHE","4.34","5.0","8.0"
"Asia","Western Asia","Syria","SYR","6.84","8.5","2.0"
"Asia","Central Asia and the Caucasus","Tajikistan","TJK","5.61","6.5","2.0"
"Africa","East Africa","Tanzania","TZA","6.15","6.5","3.0"
"Asia","South-Eastern Asia","Thailand","THA","5.76","6.5","4.5"
"Asia","South-Eastern Asia","Timor-Leste","TLS","3.96","4.0","3.5"
"Africa","West Africa","Togo","TGO","5.33","6.0","4.5"
"Oceania","Polynesia","Tonga","TON","3.78","3.5","5.0"
"Americas","Caribbean","Trinidad and Tobago","TTO","4.94","6.0","5.0"
"Africa","North Africa","Tunisia","TUN","3.79","4.0","4.5"
"Asia","Western Asia","Turkey","TUR","6.89","7.0","4.0"
"Asia","Central Asia and the Caucasus","Turkmenistan","TKM","4.61","8.5","2.0"
"Oceania","Polynesia","Tuvalu","TUV","1.54","1.5","4.5"
"Africa","East Africa","Uganda","UGA","6.14","7.0","2.0"
"Europe","Central & Eastern Europe","Ukraine","UKR","6.18","7.0","3.5"
"Asia","Western Asia","United Arab Emirates","ARE","5.75","8.5","6.5"
"Europe","Western Europe","United Kingdom","GBR","4.89","6.0","7.5"
"Americas","North America","United States","USA","5.50","5.5","7.0"
"Americas","South America","Uruguay","URY","2.69","3.0","7.5"
"Asia","Central Asia and the Caucasus","Uzbekistan","UZB","4.96","7.5","4.0"
"Oceania","Melanesia","Vanuatu","VUT","2.20","2.5","5.0"
"Americas","South America","Venezuela","VEN","6.64","7.5","1.0"
"Asia","South-Eastern Asia","Vietnam","VNM","6.28","6.5","5.0"
"Asia","Western Asia","Yemen","YEM","6.13","8.5","1.0"
"Africa","Southern Africa","Zambia","ZMB","4.93","5.0","3.0"
"Africa","Southern Africa","Zimbabwe","ZWE","5.66","5.5","2.0"
